,Wiki Entity ID,Label,Description,Instance of,Sex or Gender
156,Q104540864,Pierre de Lano,French writer,Q5,Q6581097
157,Q104551635,Swift Dog,Hunkpapa Sioux artist,Q5,Q6581097
158,Q104553256,"Cundall, Downes & Co.",English photographic studio,Q672070,
159,Q104763,Egino Weinert,German sculptor and painter (1920-2012),Q5,Q6581097
160,Q104767386,Robert Baines,jewelry designer,Q5,Q6581097
161,Q1047896,Caspar Gras,"Austrian sculptor, bronze caster",Q5,Q6581097
162,Q104790,Alfred Mombert,German poet (1872-1942),Q5,Q6581097
163,Q104816883,Joseph Dubois,American silversmith,Q5,Q6581097
164,Q104861834,Sam Kramer,jewelry designer,Q5,Q6581097
165,Q104867857,R. H. Moore,"illustrator, sketcher, engraver",Q5,Q6581097
166,Q104884,Caspar David Friedrich,German Romantic landscape painter (1774–1840),Q5,Q6581097
167,Q104898,Norman Foster,British architect (born 1935),Q5,Q6581097
168,Q104922467,Niccolò Mogalli,,Q5,Q6581097
169,Q1049934,Isaac Oliver,British painter (1556-1617),Q5,Q6581097
170,Q105041,Hermann Bote,German writer (1450-1520),Q5,Q6581097
171,Q105086435,François-Charles Gavet,,Q5,Q6581097
172,Q105089946,Helen Soreff,"American painter, 20th century",Q5,Q6581072
173,Q105090050,Lemercier,French printmaker,Q5,Q6581097
174,Q105090196,Nola Zirin,American printmaker,Q5,Q6581072
175,Q105090326,Clover Vail,American printmaker,Q5,Q6581072
176,Q105090357,Phillis Ideal,American printmaker,Q5,Q6581072
177,Q105090442,Edward Shalala,American printmaker,Q5,Q6581097
178,Q105090445,Jeanne Wilkinson,American printmaker,Q5,Q6581072
179,Q105090451,Creighton Michael,American sculptor,Q5,Q6581097
180,Q105090481,Mara Held,printmaker,Q5,Q6581072
181,Q105090504,Gilbert Hsiao,visual artist,Q5,Q6581097
182,Q105090514,Paul D'Amato,American photographer,Q5,Q6581097
183,Q105090527,Stephen Maine,American printmaker,Q5,Q6581097
184,Q105090530,Vera Vasek,American printmaker,Q5,Q6581072
185,Q105090541,Steve Karlik,printmaker,Q5,Q6581097
186,Q105090761,P.J. Chaillou,"French artist, active 18th century-19th century",Q5,
187,Q105091950,Theodore Child,,Q5,Q6581097
188,Q105098373,Mark Harvey Liddell,Indiana writer 1866-1936,Q5,Q6581097
189,Q105103587,Payag,Indian painter,Q5,Q6581097
190,Q105116529,Harold O'Connor,jewelry designer,Q5,Q6581097
191,Q105168687,Horace Harral,"British wood-engraver, photographer and etcher",Q5,Q6581097
192,Q105180,Sojourner Truth,African-American abolitionist and women's rights activist,Q5,Q6581072
193,Q105216254,Monika Tilley,American clothing designer,Q5,Q6581072
194,Q1052263,Sinibaldo Scorza,Italian painter (1589-1631),Q5,Q6581097
195,Q105270105,Illman & Sons,American engraving and printing company,Q4830453,
196,Q1052776,Andrea Memmo,Italian politician and diplomat (1729-1793),Q5,Q6581097
197,Q1052895,Celia Calderón,Mexican artist (1921-1969),Q5,Q6581072
198,Q105290,Praxiteles,Attic sculptor,Q5,Q6581097
199,Q105299108,Giuseppe Sforza Perini,,Q5,Q6581097
200,Q105320,Berthe Morisot,French painter (1841-1895),Q5,Q6581072
201,Q105335857,Antoinette Larcher,French engraver,Q5,Q6581072
202,Q105336085,Angélique Papavoine,French engraver,Q5,Q6581072
203,Q105339443,Daniel Jocz,jewelry designer,Q5,Q6581097
204,Q105339516,Sabine Klarner,jewelry designer,Q5,Q6581072
205,Q105349158,Jules Léon Butensky,Russian sculptor,Q5,Q6581097
206,Q10535842,Ottavio Missoni,"Italian fashion designer, founder of fashion label Missoni, Olympic hurdler (1921-2013)",Q5,Q6581097
207,Q105371152,Dominic Di Mare,American artist,Q5,Q6581097
208,Q105382629,François David Soiron,engraver,Q5,Q6581097
209,Q105427830,Thomas Erat Harrison,,Q5,Q6581097
210,Q1054362,Domenico Piola,Italian painter (1627-1703),Q5,Q6581097
211,Q105436799,William Daley,American ceramist and professor,Q5,Q6581097
212,Q105474996,Michael Balog,USA painter and sculptor,Q5,Q6581097
213,Q105479379,John Aldam Heaton,artist and designer (1830-1898),Q5,Q6581097
214,Q105479871,Giuseppe de Levis,"Italian sculptor and bronze founder, born 1552, died 1611-1614",Q5,Q6581097
215,Q105488937,Albert James Webb,artist,Q5,Q6581097
216,Q105512412,Harry Wilk,Holocaust victim (born 1874),Q5,Q6581097
